#start1	end1	name2	strand2	start2	end2	length2
18431	19077	NODE_36_length_633_cov_2.565561	-	1	647	647
4328	4447	NODE_37_length_106_cov_3.132076	+	1	120	120
17116	17646	NODE_38_length_517_cov_2.141199	-	1	531	531
21518	21912	NODE_39_length_381_cov_3.091864	+	1	395	395
34895	34995	NODE_40_length_87_cov_2.218391	-	1	101	101
92922	93040	NODE_41_length_105_cov_2.742857	+	1	119	119
67701	67998	NODE_42_length_284_cov_1.098592	-	1	298	298
68274	68726	NODE_43_length_439_cov_3.207289	-	1	453	453
67082	67312	NODE_44_length_217_cov_3.423963	-	1	231	231
9029	9094	NODE_45_length_52_cov_1.480769	+	1	66	66
9083	9171	NODE_46_length_75_cov_1.706667	+	1	89	89
22791	23097	NODE_47_length_293_cov_1.716724	+	1	307	307
9740	9913	NODE_48_length_160_cov_2.056250	-	1	174	174
38192	38486	NODE_49_length_281_cov_1.188612	+	1	295	295
93842	94089	NODE_50_length_234_cov_1.799145	+	1	248	248
10082	10615	NODE_51_length_520_cov_3.076923	+	1	534	534
32286	32621	NODE_52_length_322_cov_1.667702	-	1	336	336
19144	19664	NODE_53_length_507_cov_2.897436	-	1	521	521
41865	41964	NODE_54_length_86_cov_2.360465	+	1	100	100
82867	83220	NODE_55_length_340_cov_2.167647	+	1	354	354
28544	28950	NODE_56_length_393_cov_1.659033	+	1	407	407
76392	76644	NODE_57_length_239_cov_1.782427	-	1	253	253
79502	79840	NODE_58_length_325_cov_2.409231	-	1	339	339
40280	40715	NODE_59_length_422_cov_2.132701	-	1	436	436
79889	80364	NODE_60_length_462_cov_1.900433	-	1	476	476
3581453	3581575	NODE_61_length_109_cov_3.174312	+	1	123	123
20439	20561	NODE_61_length_109_cov_3.174312	-	1	123	123
91590	91968	NODE_62_length_365_cov_1.386301	-	1	379	379
46027	46317	NODE_63_length_277_cov_2.057762	+	1	291	291
82558	82821	NODE_64_length_250_cov_1.436000	-	1	264	264
28080	28372	NODE_65_length_279_cov_2.157706	+	1	293	293
21287	21400	NODE_66_length_100_cov_3.180000	-	1	114	114
43821	44044	NODE_67_length_210_cov_1.990476	+	1	224	224
37327	38096	NODE_68_length_756_cov_2.567460	-	1	770	770
93048	93192	NODE_69_length_131_cov_2.854962	-	1	145	145
29748	30058	NODE_70_length_297_cov_2.313131	+	1	311	311
72206	72509	NODE_71_length_290_cov_1.803448	-	1	304	304
95389	95640	NODE_72_length_238_cov_1.882353	-	1	252	252
36729	37099	NODE_73_length_357_cov_2.067227	-	1	371	371
60518	60887	NODE_74_length_356_cov_1.707865	+	1	370	370
66630	66662	NODE_75_length_19_cov_2.947368	-	1	33	33
5564	5600	NODE_76_length_24_cov_5.166667	+	1	37	37
2302493	2302529	NODE_76_length_24_cov_5.166667	+	2	38	37
66606	66643	NODE_76_length_24_cov_5.166667	-	1	38	38
66692	66728	NODE_76_length_24_cov_5.166667	-	2	38	37
64709	64808	NODE_77_length_86_cov_1.883721	+	1	100	100
50966	51337	NODE_78_length_358_cov_1.888268	+	1	372	372
42764	43025	NODE_79_length_248_cov_1.342742	-	1	262	262
65577	65752	NODE_80_length_162_cov_1.790123	+	1	176	176
99540	99682	NODE_81_length_129_cov_1.666667	-	1	143	143
60110	60238	NODE_82_length_115_cov_1.408696	-	1	129	129
64209	64428	NODE_83_length_206_cov_1.868932	-	1	220	220
7170	7417	NODE_84_length_234_cov_2.175214	-	1	248	248
90731	91017	NODE_85_length_273_cov_1.095238	+	1	287	287
31579	31839	NODE_86_length_247_cov_2.384615	-	1	261	261
46321	46769	NODE_87_length_435_cov_2.075862	+	1	449	449
62800	63525	NODE_88_length_712_cov_2.518258	-	1	726	726
78687	78955	NODE_89_length_255_cov_1.607843	-	1	269	269
30588	30877	NODE_90_length_276_cov_1.771739	+	1	290	290
22475	22693	NODE_91_length_205_cov_1.775610	+	1	219	219
12499	12837	NODE_92_length_325_cov_2.575385	+	1	339	339
2656371	2656501	NODE_92_length_325_cov_2.575385	-	131	261	131
81025	81235	NODE_93_length_197_cov_1.309645	-	1	211	211
33673	34004	NODE_94_length_318_cov_2.933962	-	1	332	332
55754	56342	NODE_95_length_575_cov_3.881739	-	1	589	589
73438	73746	NODE_96_length_295_cov_1.701695	+	1	309	309
57016	57419	NODE_97_length_390_cov_1.789744	-	1	404	404
54016	54119	NODE_98_length_90_cov_3.244444	-	1	104	104
3477932	3478041	NODE_99_length_321_cov_2.389408	+	8	117	110
48145	48479	NODE_99_length_321_cov_2.389408	-	1	335	335
94297	94505	NODE_100_length_195_cov_2.425641	-	1	209	209
3982311	3982350	NODE_101_length_174_cov_2.609195	+	1	40	40
25558	25745	NODE_101_length_174_cov_2.609195	-	1	188	188
96285	96535	NODE_102_length_237_cov_1.430380	+	1	251	251
89885	90002	NODE_103_length_104_cov_2.480769	-	1	118	118
35109	35561	NODE_104_length_439_cov_2.380410	+	1	453	453
30116	30589	NODE_105_length_460_cov_1.595652	-	1	474	474
86537	86813	NODE_106_length_263_cov_1.961977	+	1	277	277
9195	9424	NODE_107_length_216_cov_2.032408	+	1	230	230
60946	61053	NODE_108_length_94_cov_2.925532	+	1	108	108
32995	33281	NODE_109_length_273_cov_1.846154	+	1	287	287
26447	26537	NODE_110_length_77_cov_2.000000	-	1	91	91
997	1287	NODE_111_length_277_cov_1.339350	-	1	291	291
32835	32954	NODE_112_length_106_cov_1.924528	-	1	120	120
27797	28082	NODE_113_length_272_cov_1.283088	+	1	286	286
5158	5577	NODE_114_length_406_cov_2.083744	-	1	420	420
2418	2512	NODE_115_length_81_cov_2.000000	-	1	95	95
81814	81889	NODE_116_length_62_cov_1.580645	+	1	76	76
61177	61268	NODE_117_length_78_cov_1.000000	+	1	92	92
97518	97786	NODE_118_length_255_cov_3.003922	+	1	269	269
95633	95921	NODE_119_length_275_cov_1.487273	-	1	289	289
3561	3805	NODE_120_length_231_cov_1.666667	+	1	245	245
71634	71733	NODE_121_length_86_cov_2.372093	-	1	100	100
83571	83697	NODE_122_length_113_cov_2.336283	+	1	127	127
480	851	NODE_123_length_358_cov_2.145252	-	1	372	372
55196	55295	NODE_124_length_86_cov_1.639535	-	1	100	100
51424	51992	NODE_125_length_555_cov_2.551351	-	1	569	569
11778	12205	NODE_126_length_414_cov_2.661836	-	1	428	428
25142	25375	NODE_127_length_220_cov_1.300000	+	1	234	234
31040	31302	NODE_128_length_249_cov_1.662651	-	1	263	263
58651	58970	NODE_129_length_306_cov_2.133987	-	1	320	320
26841	27044	NODE_130_length_190_cov_1.263158	-	1	204	204
54238	54476	NODE_131_length_225_cov_1.506667	+	1	239	239
46968	47228	NODE_132_length_247_cov_2.704453	-	1	261	261
75070	75387	NODE_133_length_304_cov_2.401316	-	1	318	318
50146	50262	NODE_134_length_103_cov_1.650485	+	1	117	117
29424	29708	NODE_135_length_271_cov_1.583026	+	1	285	285
52062	52119	NODE_136_length_44_cov_2.000000	+	1	58	58
35079	35122	NODE_137_length_30_cov_1.766667	-	1	44	44
59594	59693	NODE_138_length_86_cov_1.744186	-	1	100	100
73156	73261	NODE_139_length_92_cov_2.445652	+	1	106	106
49639	49881	NODE_140_length_229_cov_1.855895	+	1	243	243
65972	66146	NODE_141_length_161_cov_2.024845	+	1	175	175
3748514	3748683	NODE_141_length_161_cov_2.024845	-	2	171	170
45653	45754	NODE_142_length_88_cov_1.193182	-	1	102	102
24420	25155	NODE_143_length_722_cov_2.238227	-	1	736	736
71845	72025	NODE_144_length_167_cov_1.868263	+	1	181	181
42336	42686	NODE_145_length_337_cov_1.786350	+	1	351	351
35822	35957	NODE_146_length_122_cov_2.114754	-	1	136	136
87698	87797	NODE_147_length_86_cov_2.000000	-	1	100	100
20901	21000	NODE_148_length_86_cov_2.848837	-	1	100	100
11708	11752	NODE_149_length_31_cov_1.354839	+	1	45	45
68723	69011	NODE_150_length_275_cov_1.600000	+	1	289	289
86104	86345	NODE_151_length_228_cov_1.763158	-	1	242	242
75720	75981	NODE_152_length_248_cov_2.693548	-	1	262	262
99777	99876	NODE_153_length_86_cov_1.953488	-	1	100	100
43069	43168	NODE_154_length_86_cov_1.941860	+	1	100	100
13518	13752	NODE_155_length_221_cov_2.072398	-	1	235	235
34297	34555	NODE_156_length_245_cov_2.330612	+	1	259	259
9532	9740	NODE_157_length_195_cov_1.764103	+	1	209	209
52340	52418	NODE_158_length_65_cov_1.784615	+	1	79	79
58131	58449	NODE_159_length_305_cov_2.488525	+	1	319	319
96932	97025	NODE_160_length_80_cov_1.700000	-	1	94	94
63553	63681	NODE_161_length_115_cov_2.791304	+	1	129	129
3218	3558	NODE_162_length_327_cov_3.131499	-	1	341	341
84702	84936	NODE_163_length_221_cov_2.393665	-	1	235	235
27573	27667	NODE_164_length_81_cov_1.703704	+	1	95	95
21932	22382	NODE_165_length_437_cov_2.913043	-	1	451	451
38693	38783	NODE_166_length_77_cov_1.454545	+	1	91	91
38772	38964	NODE_168_length_179_cov_1.737430	+	1	193	193
90416	90508	NODE_169_length_79_cov_1.962025	-	1	93	93
49324	49586	NODE_170_length_249_cov_1.578313	-	1	263	263
54557	54891	NODE_171_length_321_cov_3.109034	+	1	335	335
30884	30983	NODE_172_length_86_cov_1.604651	+	1	100	100
145	287	NODE_173_length_129_cov_3.139535	+	1	143	143
38982	39060	NODE_174_length_65_cov_2.000000	+	1	79	79
23947	24261	NODE_175_length_301_cov_2.674419	+	1	315	315
89998	90263	NODE_176_length_252_cov_2.384921	+	1	266	266
35964	36449	NODE_177_length_472_cov_2.533898	+	1	486	486
53607	53979	NODE_178_length_359_cov_2.189415	+	1	373	373
23094	23445	NODE_179_length_338_cov_2.168639	+	1	352	352
83300	83581	NODE_180_length_268_cov_2.529851	-	1	282	282
18038	18159	NODE_181_length_108_cov_3.111111	-	1	122	122
80595	80873	NODE_182_length_265_cov_2.064151	-	1	279	279
48891	48990	NODE_183_length_86_cov_2.581395	-	1	100	100
65240	65354	NODE_184_length_101_cov_1.623762	+	1	115	115
26057	26364	NODE_185_length_294_cov_2.010204	+	1	308	308
75968	76308	NODE_186_length_327_cov_2.119266	-	1	341	341
92233	92591	NODE_187_length_345_cov_1.797101	+	1	359	359
44349	44596	NODE_188_length_234_cov_1.525641	+	1	248	248
93612	93691	NODE_189_length_66_cov_1.742424	+	1	80	80
81879	82085	NODE_190_length_193_cov_1.746114	-	1	207	207
43722	43801	NODE_192_length_66_cov_1.606061	-	1	80	80
48466	48512	NODE_193_length_33_cov_3.848485	+	1	47	47
607219	607255	NODE_194_length_280_cov_2.953571	+	258	294	37
16706	16999	NODE_194_length_280_cov_2.953571	-	1	294	294
82195	82269	NODE_195_length_61_cov_2.000000	-	1	75	75
50382	50655	NODE_196_length_260_cov_1.596154	+	1	274	274
1570	1840	NODE_197_length_257_cov_1.338521	-	1	271	271
60384	60477	NODE_198_length_80_cov_2.000000	-	1	94	94
63791	63872	NODE_199_length_68_cov_1.205882	-	1	82	82
76821	76922	NODE_200_length_88_cov_3.738636	-	1	102	102
385489	385583	NODE_201_length_108_cov_1.462963	+	12	106	95
72765	72886	NODE_201_length_108_cov_1.462963	-	1	122	122
36605	36687	NODE_202_length_69_cov_2.739130	-	1	83	83
59093	59296	NODE_203_length_190_cov_2.305263	+	1	204	204
98440	98539	NODE_204_length_86_cov_2.255814	-	1	100	100
57406	57717	NODE_205_length_298_cov_1.795302	-	1	312	312
73251	73420	NODE_206_length_156_cov_1.730769	+	1	170	170
64082	64181	NODE_207_length_86_cov_2.348837	-	1	100	100
56890	56956	NODE_208_length_53_cov_2.415094	-	1	67	67
48742	48843	NODE_209_length_88_cov_1.931818	-	1	102	102
25733	25795	NODE_210_length_49_cov_2.530612	+	1	63	63
2338382	2338416	NODE_210_length_49_cov_2.530612	+	29	63	35
2833137	2833170	NODE_210_length_49_cov_2.530612	+	30	63	34
3545909	3545971	NODE_210_length_49_cov_2.530612	-	1	63	63
25783	25911	NODE_211_length_115_cov_2.052174	+	1	129	129
77598	77926	NODE_212_length_315_cov_2.142857	+	1	329	329
6755	6973	NODE_213_length_205_cov_1.258537	+	1	219	219
13038	13158	NODE_214_length_107_cov_2.719626	-	1	121	121
31952	32051	NODE_215_length_86_cov_2.220930	-	1	100	100
99265	99487	NODE_216_length_209_cov_1.894737	+	1	223	223
17902	18017	NODE_217_length_102_cov_3.578431	+	1	116	116
71762	71857	NODE_218_length_82_cov_1.292683	+	1	96	96
32165	32264	NODE_219_length_86_cov_2.430233	-	1	100	100
98777	98888	NODE_220_length_98_cov_2.459184	+	1	112	112
53210	53557	NODE_221_length_334_cov_2.392215	+	1	348	348
91955	92059	NODE_222_length_91_cov_1.406593	-	1	105	105
56727	56826	NODE_223_length_86_cov_1.744186	+	1	100	100
18204	18298	NODE_224_length_81_cov_1.765432	+	1	95	95
8245	8344	NODE_225_length_86_cov_2.546512	-	1	100	100
80554	80608	NODE_226_length_41_cov_1.000000	+	1	55	55
6396	6529	NODE_227_length_120_cov_1.433333	+	1	134	134
32668	32787	NODE_228_length_106_cov_1.981132	+	1	120	120
59283	59316	NODE_229_length_20_cov_1.850000	+	1	34	34
59343	59569	NODE_230_length_213_cov_1.929577	+	1	227	227
97956	98010	NODE_231_length_41_cov_2.000000	-	1	55	55
5588	5669	NODE_232_length_68_cov_2.735294	+	1	82	82
698648	698729	NODE_232_length_68_cov_2.735294	-	1	82	82
20762	20874	NODE_233_length_99_cov_2.434343	-	1	113	113
97376	97438	NODE_234_length_49_cov_1.000000	+	1	63	63
35648	35744	NODE_235_length_83_cov_1.445783	+	1	97	97
54133	54232	NODE_236_length_86_cov_2.000000	-	1	100	100
79279	79381	NODE_237_length_89_cov_1.932584	+	1	103	103
5657	5861	NODE_238_length_191_cov_4.392670	-	1	205	205
72012	72148	NODE_239_length_123_cov_1.650406	-	1	137	137
47385	47472	NODE_240_length_74_cov_1.891892	-	1	88	88
290	441	NODE_241_length_138_cov_3.391304	-	1	152	152
74551	74666	NODE_242_length_102_cov_1.558824	-	1	116	116
20713	20772	NODE_244_length_46_cov_2.739130	-	1	60	60
55522	55565	NODE_245_length_30_cov_2.000000	+	1	44	44
18330	18444	NODE_246_length_101_cov_1.801980	+	1	115	115
4471	4574	NODE_247_length_90_cov_3.000000	-	1	104	104
34732	34796	NODE_248_length_51_cov_1.313725	+	1	65	65
94988	95048	NODE_249_length_47_cov_2.000000	+	1	61	61
67513	67565	NODE_250_length_39_cov_2.000000	+	1	53	53
41999	42102	NODE_251_length_90_cov_2.633333	-	1	104	104
21171	21270	NODE_252_length_86_cov_2.767442	+	1	100	100
94188	94274	NODE_253_length_73_cov_2.000000	-	1	87	87
66581	66619	NODE_256_length_25_cov_3.320000	+	1	39	39
64817	64938	NODE_257_length_108_cov_2.990741	-	1	122	122
8379	8481	NODE_258_length_89_cov_1.932584	+	1	103	103
65787	65839	NODE_259_length_39_cov_1.846154	-	1	53	53
50046	50108	NODE_260_length_49_cov_2.000000	-	1	63	63
76709	76808	NODE_261_length_86_cov_1.860465	+	1	100	100
36460	36560	NODE_262_length_87_cov_3.505747	+	1	101	101
25405	25504	NODE_263_length_86_cov_1.023256	+	1	100	100
17009	17111	NODE_264_length_89_cov_1.943820	-	1	103	103
89792	89880	NODE_265_length_75_cov_1.986667	+	1	89	89
94841	94897	NODE_266_length_43_cov_2.000000	-	1	57	57
61068	61167	NODE_267_length_86_cov_1.965116	-	1	100	100
50865	50969	NODE_268_length_91_cov_1.208791	-	1	105	105
98650	98747	NODE_269_length_84_cov_2.011905	+	1	98	98
9939	10051	NODE_270_length_99_cov_3.191919	-	1	113	113
55057	55156	NODE_271_length_86_cov_1.581395	+	1	100	100
49009	49108	NODE_272_length_86_cov_1.813954	-	1	100	100
52206	52276	NODE_273_length_57_cov_2.000000	-	1	71	71
44644	44743	NODE_274_length_86_cov_3.174419	-	1	100	100
42239	42311	NODE_275_length_59_cov_1.050847	+	1	73	73
94557	94656	NODE_276_length_86_cov_1.593023	-	1	100	100
43191	43290	NODE_277_length_86_cov_2.139535	-	1	100	100
21424	21523	NODE_278_length_86_cov_2.000000	-	1	100	100
99147	99239	NODE_279_length_79_cov_1.962025	-	1	93	93
27710	27795	NODE_280_length_72_cov_1.944444	-	1	86	86
10630	10687	NODE_281_length_44_cov_1.909091	+	1	58	58
34573	34655	NODE_283_length_69_cov_1.797101	-	1	83	83
6079	6181	NODE_284_length_89_cov_2.719101	+	1	103	103
46882	46934	NODE_285_length_39_cov_2.000000	+	1	53	53
58610	58657	NODE_286_length_34_cov_1.882353	-	1	48	48
93753	93834	NODE_289_length_68_cov_2.000000	-	1	82	82
43556	43623	NODE_290_length_54_cov_1.722222	+	1	68	68
48532	48733	NODE_291_length_188_cov_2.691489	-	1	202	202
22375	22469	NODE_292_length_81_cov_2.000000	-	1	95	95
60256	60323	NODE_293_length_54_cov_2.000000	+	1	68	68
5028	5145	NODE_294_length_104_cov_2.307692	+	1	118	118
21035	21113	NODE_295_length_65_cov_2.000000	-	1	79	79
24349	24395	NODE_296_length_33_cov_1.515152	-	1	47	47
65542	65590	NODE_297_length_35_cov_1.000000	+	1	49	49
98297	98394	NODE_298_length_84_cov_1.785714	+	1	98	98
2568	2667	NODE_299_length_86_cov_1.500000	-	1	100	100
12875	12972	NODE_300_length_84_cov_2.000000	+	1	98	98
44776	44850	NODE_301_length_61_cov_2.000000	-	1	75	75
97779	97901	NODE_302_length_109_cov_1.577982	-	1	123	123
65841	65940	NODE_303_length_86_cov_1.825581	+	1	100	100
3748719	3748805	NODE_303_length_86_cov_1.825581	-	1	87	87
45523	45602	NODE_304_length_66_cov_2.000000	-	1	80	80
39967	40053	NODE_306_length_73_cov_2.000000	-	1	87	87
